2024-03-29 07:09:15,185 INFO    StreamThr :479077 [internal.py:wandb_internal():86] W&B internal server running at pid: 479077, started at: 2024-03-29 07:09:15.185216
2024-03-29 07:09:15,186 DEBUG   HandlerThread:479077 [handler.py:handle_request():146] handle_request: status
2024-03-29 07:09:15,188 INFO    WriterThread:479077 [datastore.py:open_for_write():85] open: /home/ccarhuancho/AirQuality_WRFChem-IA/Outputs/AI/wandb/run-20240329_070915-zq8d69z0/run-zq8d69z0.wandb
2024-03-29 07:09:15,188 DEBUG   SenderThread:479077 [sender.py:send():380] send: header
2024-03-29 07:09:15,190 DEBUG   SenderThread:479077 [sender.py:send():380] send: run
2024-03-29 07:09:15,771 INFO    SenderThread:479077 [dir_watcher.py:__init__():211] watching files in: /home/ccarhuancho/AirQuality_WRFChem-IA/Outputs/AI/wandb/run-20240329_070915-zq8d69z0/files
2024-03-29 07:09:15,771 INFO    SenderThread:479077 [sender.py:_start_run_threads():1122] run started: zq8d69z0 with start time 1711714155.185022
2024-03-29 07:09:15,776 DEBUG   HandlerThread:479077 [handler.py:handle_request():146] handle_request: check_version
2024-03-29 07:09:15,776 DEBUG   SenderThread:479077 [sender.py:send_request():407] send_request: check_version
2024-03-29 07:09:15,843 DEBUG   HandlerThread:479077 [handler.py:handle_request():146] handle_request: run_start
2024-03-29 07:09:15,855 DEBUG   HandlerThread:479077 [system_info.py:__init__():32] System info init
2024-03-29 07:09:15,855 DEBUG   HandlerThread:479077 [system_info.py:__init__():47] System info init done
2024-03-29 07:09:15,855 INFO    HandlerThread:479077 [system_monitor.py:start():194] Starting system monitor
2024-03-29 07:09:15,855 INFO    SystemMonitor:479077 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-29 07:09:15,856 INFO    HandlerThread:479077 [system_monitor.py:probe():214] Collecting system info
2024-03-29 07:09:15,857 INFO    SystemMonitor:479077 [interfaces.py:start():190] Started cpu monitoring
2024-03-29 07:09:15,857 INFO    SystemMonitor:479077 [interfaces.py:start():190] Started disk monitoring
2024-03-29 07:09:15,858 INFO    SystemMonitor:479077 [interfaces.py:start():190] Started gpu monitoring
2024-03-29 07:09:15,859 INFO    SystemMonitor:479077 [interfaces.py:start():190] Started memory monitoring
2024-03-29 07:09:15,860 INFO    SystemMonitor:479077 [interfaces.py:start():190] Started network monitoring
2024-03-29 07:09:15,874 DEBUG   HandlerThread:479077 [system_info.py:probe():196] Probing system
2024-03-29 07:09:15,875 DEBUG   HandlerThread:479077 [system_info.py:_probe_git():181] Probing git
2024-03-29 07:09:15,878 DEBUG   HandlerThread:479077 [system_info.py:_probe_git():189] Probing git done
2024-03-29 07:09:15,878 DEBUG   HandlerThread:479077 [system_info.py:probe():244] Probing system done
